Dist    Strength    Reserved    TS          
5669    538         0           15:43:54.571   
5669    537         0           15:43:54.589   
5669    520         0           15:43:54.601   
5669    542         0           15:43:54.601   
5669    538         0           15:43:54.619   
5669    541         0           15:43:54.637   
5669    521         0           15:43:54.637   
5669    538         0           15:43:54.649   
5669    539         0           15:43:54.661   
5669    533         0           15:43:54.661   
5669    526         0           15:43:54.679   
5669    532         0           15:43:54.691   
5669    542         0           15:43:54.691   
5670    533         0           15:43:54.709   
5669    538         0           15:43:54.727   
5669    539         0           15:43:54.727   
5669    529         0           15:43:54.739   
5670    535         0           15:43:54.751   
5670    540         0           15:43:54.751   
5670    532         0           15:43:54.769   
5670    540         0           15:43:54.781   
5670    533         0           15:43:54.781   
5670    535         0           15:43:54.799   
5670    535         0           15:43:54.811   
5670    538         0           15:43:54.811   
5670    533         0           15:43:54.829   
5670    544         0           15:43:54.841   
5670    537         0           15:43:54.841   
5670    529         0           15:43:54.859   
5670    532         0           15:43:54.871   
5670    544         0           15:43:54.871   
5670    532         0           15:43:54.889   
5670    531         0           15:43:54.901   
5670    529         0           15:43:54.901   
5670    536         0           15:43:54.919   
5670    532         0           15:43:54.931   
5670    543         0           15:43:54.931   
5670    539         0           15:43:54.949   
5670    533         0           15:43:54.961   
5670    529         0           15:43:54.961   
5670    540         0           15:43:54.979   
5670    542         0           15:43:54.991   
5670    541         0           15:43:54.991   
5670    537         0           15:43:55.15    
5670    538         0           15:43:55.15    
5670    541         0           15:43:55.27    
5670    533         0           15:43:55.39    
5670    539         0           15:43:55.51    
5670    532         0           15:43:55.51    
5670    532         0           15:43:55.69    
5670    535         0           15:43:55.81    
5669    531         0           15:43:55.81    
5669    537         0           15:43:55.105   
5669    536         0           15:43:55.105   
5669    540         0           15:43:55.117   
5669    538         0           15:43:55.129   
5669    526         0           15:43:55.141   
5669    527         0           15:43:55.141   
5669    532         0           15:43:55.159   
5669    537         0           15:43:55.171   
5669    540         0           15:43:55.171   
5669    535         0           15:43:55.194   
5669    533         0           15:43:55.194   
